Kilometers_Driven,Fuel_Type,Transmission,Engine CC,Power,Seats,Mileage Km/L,Price
54897,Diesel,Automatic,1248,74,5,26.59,7.3
108995,Petrol,Manual,1193,65.3,5,15.3,1.25
73000,Diesel,Manual,1598,118,5,22.7,8.25
65000,Petrol,Manual,1298,88.2,5,16.1,2.71
32000,Petrol,Manual,1197,82,5,19.1,3.6
65000,Petrol,Manual,1197,80,5,18.5,3
21600,Petrol,Automatic,998,67.04,5,23.1,4.65
39000,Diesel,Automatic,2143,170,5,14.84,9.5
58075,Petrol,Manual,1298,85.8,5,17.5,2.95
58000,Petrol,Manual,1598,103.6,5,15.04,3
58000,Diesel,Manual,1248,74,5,25.2,5.95
89000,Petrol,Automatic,1798,138.1,5,14.53,4
72000,Petrol,Manual,1799,130,5,13.5,2.5
1800,Petrol,Automatic,1499,110.4,5,16.05,11.37
172050,Diesel,Manual,1248,93,5,19,2.25
46230,Petrol,Manual,1086,68.05,5,19.81,3.1
86925,Diesel,Automatic,2400,215,5,11.2,17.18
5000,Petrol,Manual,1197,81.83,5,18.6,6.5
66000,Diesel,Manual,1498,98.6,5,26,5.7
119000,Diesel,Manual,2494,100,8,12.99,8
45000,Petrol,Manual,799,53.3,5,25.17,2.6
66149,Petrol,Manual,998,66.1,5,19,2.45
42070,Petrol,Automatic,1595,120.7,5,14.8,11.57
35503,Petrol,Manual,998,67.1,5,18.9,2.3
41460,Diesel,Manual,1248,74,5,25.2,5.9
40600,Petrol,Automatic,1591,121.3,5,17,7.2
87000,Diesel,Automatic,1582,126.2,5,22,5.9
30000,Petrol,Manual,1497,116.3,5,16.8,6
27089,Petrol,Manual,1086,66.7,5,16,1.95
53702,Diesel,Manual,1364,67.04,5,23.59,6.55
51000,Diesel,Automatic,1969,190,5,27.03,25
36542,Diesel,Manual,1399,68.05,5,20,2.65
15000,Diesel,Automatic,2987,265,5,13,69.5
65000,Diesel,Automatic,1995,190,5,22.69,14
32000,Petrol,Manual,796,47.3,5,22.74,2.1
24393,Diesel,Manual,2393,147.8,7,13.68,20.4
1000,Petrol,Manual,999,75,5,18.78,5.68
28238,Petrol,Manual,1598,102.5,5,13.24,5.55
59000,Diesel,Manual,2477,175.56,7,13.5,12.75
92000,Petrol,Manual,1799,130.2,5,14.8,3.35
56840,Petrol,Manual,796,47.3,5,22.74,1.55
62746,Diesel,Manual,1598,103.6,5,20.54,5.9
96000,Diesel,Automatic,2179,187.74,5,12.35,18.98
24000,Petrol,Manual,1997,153.86,5,13.7,11.51
54000,Diesel,Manual,1248,88.76,7,20.77,7.75
90000,Diesel,Manual,2494,100.6,7,12.99,13.9
40000,Petrol,Manual,1368,90,5,15,1.35
65938,Diesel,Automatic,2967,241.4,7,12.07,38
16100,Petrol,Automatic,1591,121.4,5,17.1,11.6
3600,Diesel,Automatic,1498,108.5,5,21.5,12.25
52000,Petrol,Manual,1497,118,5,17,3.8
54000,Diesel,Manual,1399,68.05,5,20,3.25
15399,Petrol,Manual,1199,88.7,5,18.7,6.4
75000,Petrol,Manual,1198,73.9,5,16.47,3.95
76752,Petrol,Manual,1497,117.3,5,17.4,3.57
56000,Petrol,Manual,1497,78,5,17.7,1.25
70000,CNG,Manual,998,58.2,5,26.2,3.65
46125,Petrol,Automatic,2354,187.4,5,12,12.5
35000,Diesel,Automatic,1995,190,5,18.12,23
80000,Diesel,Manual,1489,35.5,5,12.8,1.35
62729,Diesel,Manual,2179,120,8,12.05,6.32
34000,Diesel,Manual,1598,103.6,5,20.54,3.4
70000,Petrol,Manual,993,60,5,17.3,0.77
32000,Petrol,Manual,796,37,4,16.1,0.9
21000,Petrol,Automatic,1798,138.03,5,14.28,18
49000,Petrol,Automatic,1997,245,5,14.59,19
40000,Petrol,Manual,1299,70,5,13.8,1.1
78000,Petrol,Manual,1199,79.4,5,18.6,2
52000,Diesel,Manual,1364,86.79,5,21.43,6.5
65213,Diesel,Manual,2179,140,7,16,9.45
170000,Diesel,Manual,1120,71,5,24.4,4
36884,Diesel,Automatic,2143,204,5,13,32.25
62500,Petrol,Manual,1197,78.9,5,20.36,2.1
68000,Petrol,Automatic,1798,138.03,5,14.28,9.75
40748,Petrol,Manual,1798,138,5,14.53,6.3
60000,Diesel,Automatic,1968,184,5,17.32,21
12400,Diesel,Manual,1396,88.8,5,21.9,4.65
87000,Diesel,Automatic,2143,167.62,5,19.27,17
20248,Diesel,Manual,1248,73.9,5,21.1,4.35
52383,Diesel,Manual,1582,126.2,5,19.67,14.82
1000,Diesel,Automatic,1999,177,5,13.6,40
85000,Diesel,Manual,2489,93.7,7,14.95,6.15
47000,Diesel,Manual,2494,100.6,7,12.99,11.25
17585,Petrol,Automatic,2494,157.7,5,19.16,32
32496,Diesel,Automatic,2967,241.4,5,13.22,45.62
34613,Diesel,Manual,1248,74,5,28.4,6.24
153000,Diesel,Manual,1248,88.76,7,20.77,4.8
54000,Petrol,Manual,1197,85,5,16.1,4.5
16900,Petrol,Manual,1197,78.9,5,20.36,3.87
62334,Petrol,Manual,1197,78.9,5,20.36,2.75
23714,Petrol,Manual,1197,83.1,5,21.4,6.57
52325,Petrol,Manual,1495,93.7,5,16.36,2
50000,Petrol,Manual,1198,86.8,5,19.4,3.65
55746,Diesel,Manual,1248,74,5,22.9,6.95
54000,Petrol,Manual,1197,81.86,5,20.14,5.5
43000,Diesel,Manual,2179,140,7,16,7
40000,Diesel,Automatic,2143,201.1,5,13,24
125000,Diesel,Automatic,2179,115,5,0,11
51944,Diesel,Automatic,2143,170,5,19.27,32.5
46950,Diesel,Manual,1396,88.76,5,21.27,6.45
23000,Diesel,Automatic,1968,141,5,19.3,15.75
54546,Petrol,Manual,1497,118,5,17,5.5
51535,Diesel,Automatic,2982,168.5,7,12.55,19.03
45000,Diesel,Automatic,1968,184,5,17.32,15.25
46004,Petrol,Manual,998,67.1,5,20.92,2.4
124000,Diesel,Manual,1396,69,5,23.03,2.3
77395,Diesel,Automatic,1968,174.33,5,17.11,14.35
10600,CNG,Manual,796,40.3,4,33.44,3.5
22974,Petrol,Automatic,1497,117.3,5,18,11.97
89000,Petrol,Manual,999,74,5,0,1.6
65012,Diesel,Manual,2755,174.5,7,14.24,18.9
17125,Petrol,Manual,1197,82,5,18.9,5.4
90413,Petrol,Manual,1196,73,7,15.1,2.95
37000,Petrol,Manual,1198,73.9,5,16.47,5.1
65000,Petrol,Manual,1061,67,5,18.9,1.5
66000,Petrol,Manual,1497,118,5,17,4.9
86000,Petrol,Manual,1799,130.2,5,14.8,2.9
98437,Petrol,Manual,1493,100,5,13,1.15
18000,Petrol,Manual,1197,80,5,18.5,2.3
35070,Diesel,Manual,1120,70,5,24,5.99
42000,Petrol,Automatic,1598,103.6,5,14.4,3.4
40000,Petrol,Manual,1197,78.9,5,20.36,1.7
43000,Petrol,Manual,1197,80,5,17,1.99
65000,Petrol,Manual,1199,79.4,5,18.6,2.5
74000,Diesel,Manual,1199,73.9,5,22.07,4.85
51192,Petrol,Manual,1196,70,5,15.6,2.65
14262,Petrol,Automatic,1984,207.8,2,9.9,27.35
66339,Diesel,Manual,1498,98.6,5,25.1,6.9
90200,Diesel,Manual,1399,68.05,5,20,3.5
57854,Diesel,Manual,2494,100.6,7,12.99,12.5
32000,Petrol,Automatic,1373,91.1,5,19.12,9.2
29631,Petrol,Automatic,1197,82,5,18.9,4.9
54173,Petrol,Manual,999,123.24,5,18.88,5.55
50000,Petrol,Automatic,1798,177.6,5,14.7,13.5
145000,Diesel,Manual,1248,91.7,5,20.4,2.6
78000,Petrol,Manual,1298,88.2,5,16.1,4.5
65000,Diesel,Automatic,2993,180,7,11.8,34
120000,Diesel,Manual,2494,102,7,12.8,12
14000,Diesel,Manual,1248,74,5,28.4,5.25
57456,Diesel,Automatic,1968,174.33,5,17.68,21.56
44450,Diesel,Automatic,1995,190,5,22.48,24.68
63777,Petrol,Manual,1197,82.9,5,18.5,3.67
31000,Diesel,Automatic,1995,190,5,17.05,29.5
60000,Petrol,Manual,1496,88.73,5,17.6,3.1
78008,Diesel,Manual,1405,70,5,17,2.9
33000,Diesel,Automatic,2987,165,5,0,43
27078,Petrol,Automatic,1984,114.4,4,10.98,15.95
57275,Diesel,Manual,1598,103.6,5,19.7,4.5
45000,Diesel,Manual,1120,70,5,24,3.49
57319,Diesel,Manual,1248,74,5,25.2,4.25
121097,Diesel,Manual,1396,88.76,5,24,1.9
89000,Diesel,Automatic,1995,218,5,16.73,16.57
72000,Petrol,Manual,1497,118,5,17,5.75
36000,Diesel,Automatic,1968,147.51,5,16.55,14
86000,Diesel,Manual,1248,75,5,19.5,2.5
85000,Petrol,Manual,1343,90,5,13,1.2
120000,Petrol,Manual,1242,74,5,15.5,0.85
37613,Diesel,Automatic,1995,190,5,22.69,13.95
100000,Petrol,Manual,1388,68,5,16.6,1.6
5240,Petrol,Automatic,624,37.48,4,21.9,3.6
20000,CNG,Manual,1196,73,5,15.1,4.5
16862,Petrol,Manual,1197,81.8,5,20.89,6.06
59254,Petrol,Manual,1298,85.8,5,17.5,5.29
60000,Diesel,Manual,1498,89.84,5,22.7,5.75
47674,Petrol,Manual,1197,85.8,5,19.1,5.72
61517,Petrol,Automatic,1197,78.9,5,16.95,4.39
62946,Diesel,Manual,2179,140,7,15.1,11.05
66823,Diesel,Manual,1396,88.73,5,22.54,4.83
79494,CNG,Manual,998,67.04,5,33.54,2.96
107000,Diesel,Manual,1396,88.76,5,21.27,4.5
55000,Diesel,Automatic,2993,258,5,16.46,19.5
24000,Petrol,Automatic,1598,103.52,5,14.3,8.75
20002,Diesel,Automatic,2967,245,7,14.75,67
54317,Petrol,Manual,1497,117.3,5,17.4,8.4
10200,Petrol,Manual,1197,82,5,19.1,4.99
24337,Diesel,Manual,1498,98.6,5,26,8.18
79000,Petrol,Manual,1198,86.8,5,18.4,2.9
40500,Diesel,Manual,1248,88.5,5,28.09,7.1
23000,Diesel,Manual,1248,74,5,26.59,7.05
63050,Petrol,Automatic,2354,158.8,5,11.1,17.5
78000,Petrol,Automatic,1794,138.1,5,14.53,3.41
70000,Petrol,Manual,1590,74,5,0,1.3
66245,Petrol,Manual,1497,118,5,17,5.68
74112,Diesel,Manual,2179,120,9,12.05,4.1
87670,Petrol,Manual,1798,157.8,5,13.4,4
10000,Diesel,Automatic,1995,184,5,18.88,30
62493,Petrol,Manual,1586,104.68,5,15,1.8
44620,Petrol,Manual,1373,91.1,5,20.73,6.93
66538,Diesel,Automatic,4367,308,7,10.2,70
60000,Diesel,Manual,2494,100,7,12.99,7.9
20842,Petrol,Manual,1086,62,5,0,2.78
110000,Diesel,Automatic,2199,194.3,7,13.01,14.4
45000,Petrol,Automatic,1796,186,5,11.74,13.5
40000,CNG,Manual,998,58.16,5,26.6,3.15
49008,Petrol,Manual,796,46.3,5,19.7,2.88
31000,Petrol,Manual,796,47.3,5,24.7,2.15
8000,Petrol,Manual,1498,97.7,5,16.95,3.75
171,Petrol,Manual,796,47.3,5,24.7,3.6
2100,Petrol,Manual,998,67.1,5,24.07,3.6
20667,Petrol,Automatic,1197,81.86,5,18.9,7.55
50000,Diesel,Manual,1498,98.6,7,24.2,4.7
100030,Diesel,Manual,1248,90,5,18.8,1.6
75372,Diesel,Manual,1991,123.7,5,16.52,3.34
60475,Petrol,Automatic,1497,117.3,5,18,9.1
18453,Petrol,Manual,1197,81.86,5,18.9,6.17
96578,Diesel,Manual,1582,126.2,5,22,2.5
31001,Petrol,Manual,1198,75,5,18.44,3
65900,Diesel,Manual,1582,126.32,5,22.32,5.75
26246,Petrol,Manual,1591,121.3,5,15.29,10.75
62700,Petrol,Manual,998,67.04,5,20.51,2.85
90000,Petrol,Automatic,2354,180,5,10.2,6.5
36000,Petrol,Automatic,1497,118,5,16.8,9.45
46000,Diesel,Manual,1248,74,5,27.39,6.75
73003,Diesel,Manual,1498,98.6,5,26,7.75
46566,Diesel,Manual,1396,88.76,5,22.54,4.4
41493,Diesel,Automatic,2987,265,5,13,42
103788,Diesel,Manual,1461,108.5,5,19.01,5.67
45000,Diesel,Automatic,1461,108.45,5,19.6,11.5
120000,Petrol,Manual,998,67.1,5,18.9,1.69
97359,Diesel,Manual,1493,110,5,17.1,1.8
62000,Petrol,Manual,1197,85.8,5,18.5,3.2
18373,Diesel,Automatic,1995,187.74,5,22.48,45.86
60453,Petrol,Manual,1198,74,5,16.47,5.1
37000,Diesel,Manual,1248,74,5,17.8,4.85
69009,Petrol,Manual,1196,70,5,15.6,2.4
30000,Diesel,Automatic,1995,184,5,18.88,22
70707,Diesel,Manual,1582,126.32,5,22.32,4.28
64677,Diesel,Manual,1461,83.8,5,20.45,5.67
3000,Petrol,Automatic,1197,81.86,5,18.9,6.2
49000,Diesel,Automatic,1995,184,5,17.05,14.49
71000,Diesel,Manual,1248,73.9,5,21.1,3
52000,Petrol,Manual,1086,68.05,5,19.81,2.25
35659,Diesel,Automatic,2993,258,7,15.97,43.78
5377,Petrol,Manual,1497,116.3,5,16.8,11.45
65000,Diesel,Automatic,2696,184,7,11.18,10.5
92708,Diesel,Manual,1498,89.84,5,22.7,7.48
48105,Petrol,Manual,796,46.3,5,19.7,3.1
46759,Petrol,Manual,1198,74,5,16.47,2.55
62000,Diesel,Manual,1199,73.9,5,22.07,3.5
35175,Diesel,Manual,1199,73.9,5,22.07,2.59
70000,Diesel,Manual,1248,88.8,7,20.77,5.45
30000,Diesel,Manual,1498,98.59,5,22.77,6
66618,Diesel,Automatic,2755,171.5,7,11.36,15.49
69300,Petrol,Automatic,2497,150,5,10.8,12.5
148000,Diesel,Manual,1248,74,5,23.4,4.75
22000,Petrol,Manual,999,123.24,5,18.88,7.85
75000,Diesel,Manual,1493,110,5,16.8,6
43706,Petrol,Manual,1193,88.7,5,17.57,4
42000,Diesel,Automatic,2967,241.4,5,14.4,28.75
65000,Diesel,Manual,1248,74,5,22.3,2.5
76128,Diesel,Manual,1248,74,5,26.59,5.5
39852,Petrol,Manual,1368,90,5,16,1.59
18673,Petrol,Manual,1197,81.83,5,18.6,6.22
11583,Petrol,Manual,814,55.2,5,21.1,2.75
82000,Petrol,Manual,1086,74,5,0,1.35
50000,Diesel,Automatic,2143,136,5,17.9,25
77000,Petrol,Manual,998,67.04,5,23.1,2.8
54890,Petrol,Manual,1199,76.8,5,17.8,2.45
21000,Petrol,Automatic,1199,88.7,5,19,6.35
58557,Diesel,Automatic,1995,181,5,16.07,8
70000,Diesel,Manual,1461,108.45,5,19.01,8.25
16000,Petrol,Automatic,1499,110.4,5,17.01,5.95
8899,Diesel,Manual,2393,147.8,7,13.68,19.92
83629,Diesel,Manual,936,56.3,5,25.44,3.15
35059,Petrol,Automatic,1798,189,4,17.21,5.75
30552,Diesel,Automatic,3198,197.2,7,10.91,32.44
44875,Diesel,Automatic,1582,126.32,5,22.32,8.01
25095,Petrol,Manual,1196,86.8,5,18.16,6.48
59000,Petrol,Manual,796,37,4,16.1,0.75
36000,Diesel,Manual,1498,98.6,5,26,5
37000,Diesel,Manual,2179,140,7,16,7.75
90000,Diesel,Manual,1399,68,5,20,2.6
17000,Petrol,Manual,1497,121.36,5,17,9.2
42575,Petrol,Manual,1197,81.83,5,18.6,5.05
131000,Diesel,Manual,2494,100,7,12.99,9.6
74000,Diesel,Manual,1461,83.8,5,20.46,5.5
47234,Diesel,Manual,2494,100.6,8,12.99,9.35
231673,Petrol,Manual,1497,118,5,17,2.6
10000,Petrol,Manual,998,67.1,5,24.07,3.5
49389,Petrol,Manual,1198,67.04,5,19.49,4.26
12000,Petrol,Automatic,998,67.04,5,23.1,4.25
65000,Petrol,Manual,1796,178,5,11.7,11.75
177000,Diesel,Manual,1498,88.7,5,23.5,3.5
89000,Petrol,Manual,1591,121.3,5,17.01,7.5
72000,Petrol,Automatic,1396,100,5,15,3.25
49000,Petrol,Manual,1298,85.8,5,17.5,4.9
51355,Diesel,Automatic,2143,170,5,14.84,27
13460,Petrol,Manual,1197,81.86,5,18.6,8.91
35642,Petrol,Automatic,1591,121.4,5,17.01,6.69
52895,Diesel,Manual,1998,163.7,5,17.3,6.02
93000,Petrol,Manual,1798,138.03,5,14.28,4.5
70000,Petrol,Manual,998,66.1,5,19,2
32048,Diesel,Manual,1461,63.1,5,23.08,2.4
4700,Petrol,Manual,624,37.48,4,25.4,1.2
71800,Diesel,Manual,1248,74,5,23.4,2.9
45000,Diesel,Automatic,1968,184,5,17.32,27
15388,Diesel,Manual,1498,98.6,5,25.8,7.5
98798,Petrol,Manual,1599,104,5,14.7,1.5
43000,Diesel,Automatic,1968,174.3,5,14.16,39.5
85112,Diesel,Manual,1248,73.94,5,23.2,3.39
37804,Diesel,Manual,2179,120,7,15.4,12.4
45000,Diesel,Manual,1248,88.5,5,28.09,6.85
116000,Diesel,Manual,1364,138,5,21.43,5.75
100073,Diesel,Manual,1396,69,5,25,2
165000,Petrol,Manual,796,37,4,16.1,0.9
22000,Petrol,Manual,1198,74,5,16.47,3.8
9500,Petrol,Automatic,1999,149.92,5,14.62,16.35
152000,Diesel,Automatic,2982,169,7,11.5,16.5
17705,Petrol,Manual,1197,83.1,5,21.4,8.7
12000,Petrol,Manual,1197,83.1,5,21.4,6.1
51000,Diesel,Automatic,1998,112,5,23.8,21.94
42000,Diesel,Automatic,2987,210,5,13,22
51000,Petrol,Manual,998,67.1,5,20.92,2.65
42527,Petrol,Manual,1197,81.8,5,20.4,5.27
45000,Diesel,Manual,1248,74,5,22.1,2.48
70000,Diesel,Manual,2494,102,8,12.8,6
92000,Diesel,Manual,2982,171,7,11.5,8.9
57156,Diesel,Automatic,1995,184,5,18.88,18
53211,Petrol,Manual,1395,138.02,5,16.8,11.64
80000,Diesel,Manual,2982,171,7,11.5,8.99
74000,Diesel,Automatic,1896,105,5,15.5,5.25
37000,Diesel,Manual,1396,90,5,23,2.95
64000,Diesel,Manual,1248,88.76,5,21.02,2.65
57197,Petrol,Manual,1598,103.6,5,15.04,4
55000,Diesel,Automatic,1582,126.2,5,17.6,12.5
33000,Petrol,Manual,1197,85.8,5,21.1,3.25
70000,Petrol,Manual,1997,141.1,5,13.1,4
75000,Diesel,Manual,2179,140,7,15.1,6.25
58095,Diesel,Manual,1498,108.62,5,21.66,5.8
7445,Petrol,Manual,1193,88.7,5,17.57,5
17652,Diesel,Automatic,2993,270.88,5,12.9,58.73
28321,Petrol,Automatic,1798,138.03,5,14.28,17.49
69000,Petrol,Manual,998,66.1,5,19,1.95
80000,Petrol,Automatic,2354,142,5,11.1,3
42365,Petrol,Manual,1197,80,5,17,5.5
123000,Diesel,Automatic,2982,168.5,7,12.55,16.5
40000,Petrol,Automatic,1796,186,5,11.74,14.5
30112,Diesel,Manual,1248,74,5,27.39,7.79
43775,Diesel,Manual,1248,88.76,7,20.77,8.27
26013,Diesel,Automatic,2993,255,5,12.65,97.07
56000,Petrol,Manual,1598,102.5,5,12.9,2.15
95000,Petrol,Automatic,1799,130,5,12.9,3
41089,Diesel,Automatic,1995,184,5,16.09,28.79
41988,Diesel,Automatic,1968,138.1,5,20,5.45
72486,Diesel,Manual,1248,74,5,23.4,3.95
92000,Diesel,Automatic,1984,150,5,23.3,16
40000,Petrol,Manual,1298,85.8,5,17.5,4.25
56000,Diesel,Automatic,2179,187.7,5,12.7,34.5
125000,Petrol,Automatic,2354,177.6,5,11.7,2.6
29219,Diesel,Manual,2494,100.6,8,12.99,13.48
39927,Diesel,Manual,2982,168.5,7,12.55,32.1
38593,Petrol,Manual,1199,88.7,5,18.7,6.17
32000,Petrol,Manual,1497,118,5,17,5.5
28226,Diesel,Automatic,1248,73.75,5,28.4,9.15
95000,Diesel,Manual,1461,84.8,5,21.64,4.5
194000,Diesel,Manual,2494,100.6,8,12.99,10.5
14821,Petrol,Manual,1198,86.8,5,19.4,5.37
52000,Petrol,Manual,1598,103.6,5,15.04,5.45
33000,Diesel,Manual,2179,140,7,16,9.25
29200,Diesel,Manual,1498,98.96,5,23,7.7
99754,Diesel,Manual,1968,108.49,5,17.72,7.99
49000,Petrol,Manual,1197,78.9,5,20.36,3
299322,Diesel,Manual,2494,102,8,12.8,4
38310,Diesel,Manual,1248,88.7,5,20.65,6.69
56000,Diesel,Manual,1248,74,5,22.9,4.25
31300,Diesel,Automatic,1498,108.4,5,21.72,10.5
11241,Diesel,Manual,2393,147.8,8,13.68,22.55
48000,Petrol,Manual,1591,121.3,5,17.01,5.2
23882,Petrol,Manual,1497,117.3,5,17.4,11.87
65000,Diesel,Manual,1498,98.6,5,26,6.99
50000,Diesel,Manual,1598,103.6,5,20.54,5
25000,Diesel,Automatic,2967,236,5,12.19,44
21000,Petrol,Manual,796,47.3,5,22.74,2.79
148000,Diesel,Manual,1248,88.8,5,21.12,2.9
68000,Petrol,Manual,1591,121.3,5,15.29,9.85
52000,Diesel,Automatic,2987,224,7,12,49
19000,Diesel,Manual,2498,105,6,16.55,9.25
74000,Diesel,Manual,1582,126.3,5,22.32,3.75
30279,Diesel,Manual,1498,99,5,26.1,7.29
20000,Diesel,Automatic,1496,113.98,4,20.7,23.5
34834,Petrol,Manual,796,35,5,14,2.6
90000,Diesel,Manual,1461,65,5,21.03,3.1
38730,Diesel,Automatic,2143,203,5,14.21,29.98
57390,Diesel,Manual,1461,108.45,5,19.01,6.73
100000,Diesel,Manual,1248,74,5,23.4,3.5
50000,Petrol,Manual,1198,73.9,5,16.47,2.35
64961,Diesel,Manual,2179,140,7,16,16.13
72465,Petrol,Manual,1198,74,5,16.47,5.9
68776,Petrol,Manual,1197,85.8,5,21.1,3.9
150000,Petrol,Manual,1598,74,5,14.7,1.5
68000,Diesel,Manual,2494,102,7,12.8,6.95
33000,Diesel,Manual,1498,98.6,5,26,7
22389,Petrol,Manual,1198,73.75,5,17,7.23
90000,Diesel,Manual,1248,88.8,5,21.5,3.81
42000,Petrol,Manual,1197,85.8,5,18.6,4.5
38767,Diesel,Manual,1582,126.2,5,19.67,12.6
21000,Diesel,Automatic,2967,241.4,7,12.07,48
59136,Petrol,Manual,796,46.3,5,19.7,2.96
36000,Diesel,Manual,1498,98.6,5,25.8,3.25
95000,Diesel,Automatic,1968,167.7,5,18.33,8.5
51000,Diesel,Automatic,1582,126.24,5,19.5,8.75
36411,Petrol,Manual,998,67.1,5,18.9,3.08
40000,Diesel,Automatic,1999,148.31,7,12.81,41.5
27300,Petrol,Manual,1497,117.3,5,17.8,7
29813,Petrol,Automatic,1991,181.03,5,14.74,11.5
71000,Petrol,Manual,998,67.04,5,20.51,2.6
32000,Diesel,Manual,1582,126.3,5,22.32,4.3
19234,CNG,Manual,1373,80.46,7,17.5,8.35
50510,Diesel,Automatic,1968,141,5,17.06,24.9
102000,Diesel,Automatic,1995,177,5,15.06,13.75
42277,Diesel,Manual,1186,73.97,5,24,3.85
46000,Diesel,Automatic,2143,201.1,5,13,23.25
35000,Diesel,Manual,2523,74,7,13.6,7
50000,Petrol,Manual,1197,82,5,18.9,5.75
62000,Petrol,Manual,1197,78.9,5,20.36,1.65
78000,Diesel,Manual,1968,138.1,5,19.33,6.5
79000,Diesel,Manual,1968,138.08,5,17.67,7.5
6773,Diesel,Automatic,2967,245,7,14.75,72.94
135000,Diesel,Manual,2982,171,7,11.5,11
36716,Petrol,Manual,1061,67,5,18.9,3.02
65060,Petrol,Manual,814,55.2,5,21.1,3.32
33000,Petrol,Manual,1198,86.8,5,19.4,3.24
11110,Petrol,Manual,796,47.3,5,22.74,2.35
63000,Diesel,Manual,2523,62.1,7,15.96,5.5
27030,Petrol,Manual,1497,117.3,5,17.8,6.75
19600,Petrol,Manual,1598,103.52,5,15,6.15
27755,Petrol,Manual,1197,81.8,5,22,5.45
20000,Petrol,Manual,814,55.2,5,21.1,2.3
24782,Petrol,Manual,1197,83.14,5,20.85,6.21
47303,Petrol,Automatic,1198,76,5,19.34,5.21
71000,Petrol,Automatic,4134,250,7,8.3,11.99
135000,Diesel,Manual,1248,75,5,17.8,3.1
1000,Diesel,Manual,2179,138.03,5,13.49,7.5
29000,Diesel,Manual,1498,88.8,5,20.14,4
36367,Petrol,Manual,1497,117.3,5,17.8,7.73
38000,Petrol,Manual,1497,117.3,5,17.4,7.8
83969,Petrol,Manual,796,37,4,16.1,1.3
82621,Diesel,Manual,1498,88.8,5,20.14,4.42
89000,Diesel,Automatic,1991,147.9,7,12.5,4
54000,Diesel,Manual,2179,140,7,16,13
61691,Diesel,Manual,1498,98.6,5,25.8,5.38
32200,Petrol,Manual,1197,80,5,17,3.25
68630,Petrol,Automatic,998,67,5,20.51,3.87
61000,Diesel,Automatic,1968,138.03,5,16.96,8.25
32644,Petrol,Manual,1373,91.1,5,20.73,9.28
85000,Diesel,Automatic,2179,120,7,11.79,6.25
75000,Petrol,Manual,1150,74.9,5,15.26,1.15
40347,Petrol,Manual,1373,91.2,5,20.73,7.8
60788,Diesel,Manual,1396,90,5,23,4.5
18664,Petrol,Manual,1199,88.7,5,18.7,7.56
57847,Diesel,Manual,2179,140,7,16,16.08
52237,Petrol,Manual,1197,80,5,17,4.5
128000,Diesel,Manual,1582,126.32,5,22.32,5
54000,Petrol,Manual,1086,68.05,5,19.81,2.2
49800,Petrol,Automatic,998,67.04,5,23.1,4
98000,Diesel,Manual,1199,73.9,5,20.86,2.51
60095,Diesel,Manual,1248,74,5,25.2,4.75
68000,Petrol,Manual,1086,66.7,5,16,2
81402,Petrol,Manual,1197,78.9,5,20.36,2.1
38000,Petrol,Automatic,1499,110,5,16.5,6.25
92239,Diesel,Automatic,2987,210,5,11.5,10.6
49224,Diesel,Manual,1248,74,5,25.2,6
12000,Petrol,Manual,796,37,4,16.1,0.45
54898,Petrol,Manual,1298,88.2,5,16.1,2.5
2500,Petrol,Manual,1591,121.3,5,15.29,12.75
32838,Diesel,Automatic,1995,190,5,17.05,30.29
27076,Petrol,Manual,1299,70,5,13.8,1.6
75445,Diesel,Manual,1498,89.84,5,22.7,7.54
46601,Petrol,Manual,1373,91.1,5,20.73,6.84
72000,Diesel,Automatic,1968,167.7,5,18.33,6
27000,Diesel,Manual,1498,98.6,5,27.3,8
68193,Diesel,Automatic,1968,174.33,5,17.11,24.74
34429,Diesel,Manual,1120,70,5,24,5.5
46000,Diesel,Automatic,2987,224,7,12,36
80544,Diesel,Manual,2494,100.6,7,12.99,11.79
42000,Petrol,Manual,1498,97.7,5,16.95,3
94821,Diesel,Automatic,1968,138.1,5,20,6.75
100000,Petrol,Manual,1399,92.7,5,14.49,1.4
57000,Diesel,Manual,1498,98.6,7,24.2,5.75
79894,Diesel,Manual,1248,73.9,5,21.1,3.4
44748,Petrol,Manual,1198,73.9,5,16.47,4.89
31000,Petrol,Manual,1598,102.5,5,13.24,4.95
60587,Petrol,Automatic,998,66.1,5,16.98,3.49
32000,Diesel,Manual,1364,74,5,23.59,3.85
43772,Petrol,Manual,1497,118,5,17,6.35
23576,Petrol,Automatic,1197,82,5,18.9,7.08
4000,Diesel,Automatic,1999,177,5,13.6,38
62000,Diesel,Manual,2179,120,8,12.05,6.25
36000,Petrol,Automatic,1796,186,5,11.74,10.15
80000,Petrol,Automatic,1798,157.75,5,13.7,10.75
137008,Diesel,Automatic,1991,147.9,4,18.1,4.65
61001,Diesel,Manual,2179,120,8,12.05,4.75
52191,Petrol,Manual,1591,121.3,5,17.1,7.78
77076,Diesel,Manual,1396,90,5,23,6.75
56000,Petrol,Automatic,1497,78,5,16.4,2.99
21000,Petrol,Manual,1197,78.9,5,20.36,2.35
89429,Diesel,Manual,1498,98.6,5,25.8,3.65
45631,Petrol,Manual,998,67.04,5,22.5,2.74
53959,Petrol,Manual,1198,86.8,5,19.4,3.5
55804,Petrol,Manual,1197,80,5,17,4.76
25899,Petrol,Manual,1598,103.2,5,15.04,6.2
82000,Diesel,Manual,1896,66,5,18.7,2.35
